reportedDate,surprisePercentage,ticker,priceDrift
2023-08-04,-4.1765,AMR,84.29999999999998
2023-05-08,20.3822,AMR,35.94
2023-02-23,-11.2807,AMR,-6.429999999999978
2022-11-07,-15.467,AMR,-2.4599999999999795
2022-08-08,-2.5,AMR,33.900000000000006
2022-05-05,7.7731,AMR,-2.9499999999999886
2022-03-07,17.5699,AMR,7.6699999999999875
2021-11-05,6.2802,AMR,35.63999999999999
2021-08-06,-33.7662,AMR,16.099999999999994
2021-05-10,13.1068,AMR,22.69
2021-03-15,-6.383,AMR,14.780000000000001
2020-11-09,-23.3553,AMR,7.32
2020-08-07,-290.991,AMR,3.1400000000000006
2020-05-11,79.5031,AMR,0.6499999999999999
2020-03-18,-77.512,AMR,0.5299999999999998
2019-11-14,-369.4118,AMR,-4.529999999999999
2019-08-14,63.2911,AMR,-24.89
2019-04-01,-94.7781,AMR,-20.83
2018-12-31,33833.3333,AMR,-9.660000000000004
2018-11-14,-69.2513,AMR,-14.89
2018-08-16,41.1168,AMR,-5.730000000000004
2018-05-24,16.4927,AMR,11.700000000000003
2018-03-29,3.6585,AMR,5.400000000000006
2017-11-27,-8.8235,AMR,7.0
2017-08-28,-58.5714,AMR,-4.5
2017-05-30,-36.6788,AMR,-13.5
2017-03-31,1442.8571,AMR,-0.7999999999999972
2023-08-01,0.7692,MO,-3.8699999999999974
2023-04-27,0.0,MO,-4.759999999999998
2023-02-01,0.8547,MO,-2.039999999999999
2022-10-27,-1.5385,MO,1.0899999999999963
2022-07-28,0.8,MO,0.10000000000000142
2022-04-28,2.7523,MO,-10.119999999999997
2022-01-27,0.9259,MO,3.760000000000005
2021-10-28,-3.1746,MO,6.5
2021-07-29,4.2373,MO,-2.8399999999999963
2021-04-29,1.9048,MO,0.8100000000000023
2021-01-28,-2.9412,MO,8.910000000000004
2020-10-30,2.5862,MO,7.940000000000005
2020-07-28,2.8302,MO,-2.1300000000000026
2020-04-30,11.2245,MO,5.310000000000002
2020-01-30,0.0,MO,-10.410000000000004
2019-10-31,3.4783,MO,0.8299999999999983
2019-07-30,-0.9009,MO,-0.4399999999999977
2019-04-25,-2.1739,MO,-6.009999999999998
2019-01-31,0.0,MO,2.6699999999999946
2018-10-25,0.9346,MO,-14.350000000000001
2018-07-26,1.0,MO,3.3000000000000043
2018-04-26,3.2609,MO,3.0799999999999983
2018-02-01,13.75,MO,-14.190000000000005
2017-10-26,3.4483,MO,0.3999999999999915
2017-07-27,-1.1628,MO,-1.0999999999999943
2017-05-02,-1.3514,MO,-6.530000000000001
2017-02-01,1.4925,MO,0.5900000000000034
2016-10-27,2.5,MO,6.829999999999998
2016-07-27,1.25,MO,-5.350000000000001
2016-04-28,5.8824,MO,3.5500000000000043
2016-01-28,-1.4706,MO,2.770000000000003
2015-10-29,0.0,MO,0.09000000000000341
2015-07-29,4.2254,MO,2.0799999999999983
2015-04-23,1.6129,MO,3.6599999999999966
2015-01-30,0.0,MO,-2.0
2014-10-30,1.4706,MO,7.269999999999996
2014-07-22,-1.5152,MO,7.840000000000003
2014-04-24,0.0,MO,2.8500000000000014
2014-01-30,-1.7241,MO,4.810000000000002
2013-10-24,1.5625,MO,-0.9699999999999989
2013-07-23,-1.5873,MO,1.9299999999999997
2013-04-25,1.8868,MO,-0.8500000000000014
2013-01-31,0.0,MO,2.719999999999999
2012-10-25,0.0,MO,3.0100000000000016
2012-07-24,3.5088,MO,-4.299999999999997
2012-04-26,0.0,MO,3.309999999999995
2012-01-27,2.0408,MO,3.469999999999999
2011-10-27,0.0,MO,1.9800000000000004
2011-07-20,0.0,MO,0.7800000000000011
2011-04-20,0.0,MO,-0.879999999999999
2011-01-27,0.0,MO,3.870000000000001
2010-10-20,3.8462,MO,-0.8200000000000003
2010-07-21,0.0,MO,4.259999999999998
2010-04-21,5.0,MO,1.3099999999999987
2010-01-28,-2.5,MO,1.5100000000000016
2009-10-21,4.3478,MO,1.1999999999999993
2009-07-22,6.383,MO,1.129999999999999
2009-04-22,2.6316,MO,0.6600000000000001
2009-01-29,0.0,MO,0.2699999999999996
2008-10-23,4.5455,MO,-2.669999999999998
2008-07-31,2.2222,MO,-4.699999999999999
2008-04-24,0.0,MO,0.010000000000001563
2008-01-30,3.0928,MO,-53.230000000000004
2007-10-17,6.1404,MO,1.8700000000000045
2007-07-18,1.7699,MO,1.480000000000004
2007-04-19,-1.9048,MO,-0.3299999999999983
2007-01-31,4.0984,MO,-16.63000000000001
2006-10-25,-1.4184,MO,4.510000000000005
2006-07-25,2.9197,MO,1.0699999999999932
2006-04-20,0.0,MO,9.759999999999991
2006-01-31,0.0,MO,-2.5
2005-10-19,3.7594,MO,-1.3500000000000085
2005-07-20,-1.4925,MO,8.230000000000004
